step,episode,avg_reward,win_rate,avg_ep_len,policy_loss,value_loss,entropy
444416,17011,6.106045599999999,0.55,50.44,-0.016354516381397843,7.190909534692764,1.9508000537753105
446464,17066,5.7381804,0.51,43.56,-0.01764741650549695,6.817924618721008,2.0209783613681793
448512,17106,5.981474400000001,0.53,30.41,-0.012002660310827196,5.383346408605576,1.827551506459713
450560,17212,6.563282799999999,0.58,18.89,-0.013117600115947425,10.889582872390747,1.9001308605074883
452608,17299,8.851234400000001,0.79,23.16,0.00862188421888277,10.686232268810272,1.9097262844443321
454656,17378,6.838008399999999,0.61,27.77,-0.011355256079696119,7.98058745265007,1.9295337349176407
456704,17438,6.1660212,0.55,33.58,-0.009255006934836274,6.4041078090667725,1.9560231789946556
458752,17574,6.549951200000001,0.58,15.78,-0.018167191999964416,11.57741504907608,1.948029451072216
460800,17693,7.2134248,0.64,12.75,-0.014179601916112006,10.7173832654953,1.8470221385359764
462848,17768,6.111171999999999,0.54,23.29,-0.013825502363033593,7.935198187828064,2.0257595777511597
464896,17848,6.9973696,0.62,24.76,-0.020887712627882138,7.072316139936447,1.9642562493681908
466944,17944,7.087222400000001,0.63,24.56,-0.01680871078860946,9.219754576683044,1.888036847114563
468992,18019,7.567088,0.67,19.39,-0.016442260443000123,7.03391906619072,1.8485841527581215
471040,18108,7.092952399999999,0.63,28.1,-0.015535973012447357,9.298496067523956,1.976454272866249
473088,18185,6.8453692,0.61,29.37,-0.015287334797903895,8.418625116348267,1.8920943140983582
475136,18267,7.1098504,0.63,24.72,-0.01805244482238777,8.3963603079319,1.9229709133505821
477184,18315,6.660586,0.59,31.09,-0.01646995486225933,5.1698733270168304,1.9348258972167969
479232,18410,6.3139736,0.56,27.47,-0.01592585674370639,9.818905115127563,1.8955471068620682
481280,18490,6.174494400000001,0.55,28.26,-0.01771143253426999,7.6482253074646,1.914419285953045
483328,18569,6.985294,0.62,20.5,-0.014541329233907163,8.94186881184578,1.9456297159194946
485376,18650,7.494421200000001,0.67,26.37,-0.007588073334773071,9.477607488632202,1.8521890565752983
487424,18699,6.8289336,0.61,37.68,-0.014528184139635414,5.629175096750259,1.9674783274531364
489472,18781,6.550167200000001,0.58,27.7,-0.01710643497062847,8.34381479024887,2.0097733438014984
491520,18853,5.5337072,0.49,31.2,-0.01305705340928398,7.992986470460892,1.883234828710556
493568,18925,6.0311516,0.53,20.41,-0.0167833668529056,8.532294392585754,1.9422700852155685
495616,19015,6.848255600000001,0.61,23.19,-0.009960887138731778,10.176420271396637,1.8368924483656883
497664,19065,7.0754208,0.63,31.06,-0.017503275768831372,5.815140515565872,1.893105886876583
499712,19149,6.6375736,0.59,22.46,-0.01765071792760864,9.104141473770142,1.8684068322181702
500000,19158,6.4107088,0.57,23.84,-0.004837518328309254,7.953052759170532,2.065607249736786
